market_id,station,trained_station,bucket,current_temp,today_high_so_far,prior_day_high,prior_7day_high_mean,yes_bid,yes_ask,no_bid,no_ask,fair_yes,fair_no,edge_yes,edge_no,best_side,best_edge,latest_obs_time,question
2156866,KMIA,False,82-83F,84.0,88.0,81.0,85.57142857142857,0.005,0.01,0.99,0.995,0.039238667207995404,0.9607613327920046,0.0292386672079954,-0.0342386672079954,BUY_YES,0.0292386672079954,2026-05-05T20:53:00+00:00,Will the highest temperature in Miami be between 82-83°F on May 6?
2156865,KMIA,False,80-81F,84.0,88.0,81.0,85.57142857142857,0.001,0.005,0.995,0.999,0.03188468089389773,0.9681153191061023,0.02688468089389773,-0.03088468089389773,BUY_YES,0.02688468089389773,2026-05-05T20:53:00+00:00,Will the highest temperature in Miami be between 80-81°F on May 6?
2157132,KLAX,False,60-61F,64.0,65.0,67.0,67.57142857142857,0.001,0.002,0.998,0.999,0.02185132148205482,0.9781486785179452,0.019851321482054818,-0.02085132148205482,BUY_YES,0.019851321482054818,2026-05-05T20:53:00+00:00,Will the highest temperature in Los Angeles be between 60-61°F on May 6?
2157117,KBKF,False,50-51F,41.0,48.2,72.5,63.128571428571426,0.001,0.003,0.997,0.999,0.02266993874265477,0.9773300612573452,0.019669938742654772,-0.02166993874265477,BUY_YES,0.019669938742654772,2026-05-05T20:58:00+00:00,Will the highest temperature in Denver be between 50-51°F on May 6?
2156835,KLGA,True,62-63F,73.0,76.0,71.0,62.857142857142854,0.011,0.02,0.98,0.989,0.03835879697067124,0.9616412030293288,0.018358796970671238,-0.02735879697067123,BUY_YES,0.018358796970671238,2026-05-05T20:51:00+00:00,Will the highest temperature in New York City be between 62-63°F on May 6?
2156884,KORD,True,64-65F,56.0,61.0,79.0,61.0,0.003,0.009,0.991,0.997,0.02715353642471441,0.9728464635752856,0.018153536424714407,-0.024153536424714406,BUY_YES,0.018153536424714407,2026-05-05T20:51:00+00:00,Will the highest temperature in Chicago be between 64-65°F on May 6?
2157112,KBKF,False,40-41F,41.0,48.2,72.5,63.128571428571426,0.147,0.158,0.842,0.853,0.1303765997389048,0.8696234002610952,-0.027623400261095193,0.01662340026109521,BUY_NO,0.01662340026109521,2026-05-05T20:58:00+00:00,Will the highest temperature in Denver be between 40-41°F on May 6?
2156843,KDAL,False,76-77F,89.0,89.0,81.0,75.28571428571429,0.012,0.018,0.982,0.988,0.0,1.0,-0.018,0.01200000000000001,BUY_NO,0.01200000000000001,2026-05-05T20:53:00+00:00,Will the highest temperature in Dallas be between 76-77°F on May 6?
2157108,KBKF,False,<=33F,41.0,48.2,72.5,63.128571428571426,0.024,0.031,0.969,0.976,0.04067205323498568,0.9593279467650143,0.009672053234985684,-0.016672053234985662,BUY_YES,0.009672053234985684,2026-05-05T20:58:00+00:00,Will the highest temperature in Denver be 33°F or below on May 6?
2157139,KLAX,False,74-75F,64.0,65.0,67.0,67.57142857142857,0.011,0.012,0.988,0.989,0.0180932971014493,0.9819067028985506,0.006093297101449301,-0.007093297101449347,BUY_YES,0.006093297101449301,2026-05-05T20:53:00+00:00,Will the highest temperature in Los Angeles be between 74-75°F on May 6?
2156872,KMIA,False,94-95F,84.0,88.0,81.0,85.57142857142857,0.006,0.008,0.992,0.994,0.0,1.0,-0.008,0.006000000000000005,BUY_NO,0.006000000000000005,2026-05-05T20:53:00+00:00,Will the highest temperature in Miami be between 94-95°F on May 6?
2157138,KLAX,False,72-73F,64.0,65.0,67.0,67.57142857142857,0.03,0.031,0.969,0.97,0.0359454549438778,0.9640545450561222,0.004945454943877797,-0.00594545494387777,BUY_YES,0.004945454943877797,2026-05-05T20:53:00+00:00,Will the highest temperature in Los Angeles be between 72-73°F on May 6?
2156844,KDAL,False,78-79F,89.0,89.0,81.0,75.28571428571429,0.005,0.013,0.987,0.995,0.0009790061966903352,0.9990209938033097,-0.012020993803309664,0.004020993803309669,BUY_NO,0.004020993803309669,2026-05-05T20:53:00+00:00,Will the highest temperature in Dallas be between 78-79°F on May 6?
2156834,KLGA,True,60-61F,73.0,76.0,71.0,62.857142857142854,0.004,0.009,0.991,0.996,0.0,1.0,-0.009,0.0040000000000000036,BUY_NO,0.0040000000000000036,2026-05-05T20:51:00+00:00,Will the highest temperature in New York City be between 60-61°F on May 6?
2156855,KATL,True,82-83F,80.0,80.0,77.0,72.71428571428571,0.13,0.15,0.85,0.87,0.12633765780130546,0.8736623421986945,-0.023662342198694536,0.003662342198694546,BUY_NO,0.003662342198694546,2026-05-05T20:52:00+00:00,Will the highest temperature in Atlanta be between 82-83°F on May 6?
2157142,KSFO,False,56-57F,63.0,63.0,63.0,63.857142857142854,0.002,0.007,0.993,0.998,0.010246056602375986,0.989753943397624,0.0032460566023759857,-0.008246056602375984,BUY_YES,0.0032460566023759857,2026-05-05T20:56:00+00:00,Will the highest temperature in San Francisco be between 56-57°F on May 6?
2157150,KSFO,False,72-73F,63.0,63.0,63.0,63.857142857142854,0.002,0.006,0.994,0.998,0.0,1.0,-0.006,0.0020000000000000018,BUY_NO,0.0020000000000000018,2026-05-05T20:56:00+00:00,Will the highest temperature in San Francisco be between 72-73°F on May 6?
2156845,KDAL,False,80-81F,89.0,89.0,81.0,75.28571428571429,0.004,0.008,0.992,0.996,0.002367278240312465,0.9976327217596875,-0.005632721759687535,0.0016327217596875387,BUY_NO,0.0016327217596875387,2026-05-05T20:53:00+00:00,Will the highest temperature in Dallas be between 80-81°F on May 6?
2156877,KORD,True,50-51F,56.0,61.0,79.0,61.0,0.007,0.009,0.991,0.993,0.007229402294729903,0.9927705977052701,-0.0017705977052700963,-0.00022940229472989682,BUY_NO,-0.00022940229472989682,2026-05-05T20:51:00+00:00,Will the highest temperature in Chicago be between 50-51°F on May 6?
2156867,KMIA,False,84-85F,84.0,88.0,81.0,85.57142857142857,0.07,0.09,0.91,0.93,0.07269816999861656,0.9273018300013834,-0.01730183000138344,-0.0026981699986166063,BUY_NO,-0.0026981699986166063,2026-05-05T20:53:00+00:00,Will the highest temperature in Miami be between 84-85°F on May 6?
2156840,KLGA,True,72-73F,73.0,76.0,71.0,62.857142857142854,0.025,0.038,0.962,0.975,0.030811926290806202,0.9691880737091938,-0.007188073709193797,-0.00581192629080618,BUY_NO,-0.00581192629080618,2026-05-05T20:51:00+00:00,Will the highest temperature in New York City be between 72-73°F on May 6?
2157113,KBKF,False,42-43F,41.0,48.2,72.5,63.128571428571426,0.05,0.072,0.928,0.95,0.05798280341964368,0.9420171965803563,-0.014017196580356314,-0.007982803419643636,BUY_NO,-0.007982803419643636,2026-05-05T20:58:00+00:00,Will the highest temperature in Denver be between 42-43°F on May 6?
2157144,KSFO,False,60-61F,63.0,63.0,63.0,63.857142857142854,0.035,0.06,0.94,0.965,0.04817997959034359,0.9518200204096564,-0.011820020409656407,-0.01317997959034356,BUY_YES,-0.011820020409656407,2026-05-05T20:56:00+00:00,Will the highest temperature in San Francisco be between 60-61°F on May 6?
2156870,KMIA,False,90-91F,84.0,88.0,81.0,85.57142857142857,0.14,0.17,0.83,0.86,0.1527522311679629,0.8472477688320371,-0.017247768832037103,-0.012752231167962869,BUY_NO,-0.012752231167962869,2026-05-05T20:53:00+00:00,Will the highest temperature in Miami be between 90-91°F on May 6?
